original,entrez,symbol,kegg
448,AGXT|189,189,AGXT,hsa189
449,AGXT2|64902,64902,AGXT2,hsa64902
450,AGXT2L1|64850,64850,AGXT2L1,hsa64850
451,AGXT2L2|85007,85007,AGXT2L2,hsa85007
452,AHCTF1|25909,25909,AHCTF1,hsa25909
453,AHCY|191,191,AHCY,hsa191
454,AHCYL1|10768,10768,AHCYL1,hsa10768
455,AHCYL2|23382,23382,AHCYL2,hsa23382
456,AHDC1|27245,27245,AHDC1,hsa27245
457,AHI1|54806,54806,AHI1,hsa54806
458,AHNAK2|113146,113146,AHNAK2,hsa113146
459,AHNAK|79026,79026,AHNAK,hsa79026
460,AHR|196,196,AHR,hsa196
461,AHRR|57491,57491,AHRR,hsa57491
462,AHSA1|10598,10598,AHSA1,hsa10598
463,AHSA2|130872,130872,AHSA2,hsa130872
464,AHSG|197,197,AHSG,hsa197
465,AHSP|51327,51327,AHSP,hsa51327
466,AICDA|57379,57379,AICDA,hsa57379
467,AIDA|64853,64853,AIDA,hsa64853
468,AIF1|199,199,AIF1,hsa199
469,AIF1L|83543,83543,AIF1L,hsa83543
470,AIFM1|9131,9131,AIFM1,hsa9131
471,AIFM2|84883,84883,AIFM2,hsa84883
472,AIFM3|150209,150209,AIFM3,hsa150209
473,AIG1|51390,51390,AIG1,hsa51390
474,AIM1|202,202,AIM1,hsa202
475,AIM1L|55057,55057,AIM1L,hsa55057
476,AIM2|9447,9447,AIM2,hsa9447
477,AIMP1|9255,9255,AIMP1,hsa9255
478,AIMP2|7965,7965,AIMP2,hsa7965
479,AIP|9049,9049,AIP,hsa9049
480,AIPL1|23746,23746,AIPL1,hsa23746
481,AIRE|326,326,AIRE,hsa326
482,AJAP1|55966,55966,AJAP1,hsa55966
483,AK1|203,203,AK1,hsa203
484,AK2|204,204,AK2,hsa204
485,AK3|50808,50808,AK3,hsa50808
486,AK3L1|205,205,AK3L1,hsa205
487,AK5|26289,26289,AK5,hsa26289
488,AK7|122481,122481,AK7,hsa122481
489,AKAP10|11216,11216,AKAP10,hsa11216
490,AKAP11|11215,11215,AKAP11,hsa11215
491,AKAP12|9590,9590,AKAP12,hsa9590
492,AKAP13|11214,11214,AKAP13,hsa11214
493,AKAP14|158798,158798,AKAP14,hsa158798
494,AKAP1|8165,8165,AKAP1,hsa8165
495,AKAP2|11217,11217,AKAP2,hsa11217
496,AKAP3|10566,10566,AKAP3,hsa10566
497,AKAP4|8852,8852,AKAP4,hsa8852
498,AKAP5|9495,9495,AKAP5,hsa9495
499,AKAP6|9472,9472,AKAP6,hsa9472
500,AKAP7|9465,9465,AKAP7,hsa9465
501,AKAP8|10270,10270,AKAP8,hsa10270
502,AKAP8L|26993,26993,AKAP8L,hsa26993
503,AKAP9|10142,10142,AKAP9,hsa10142
504,AKD1|221264,221264,AKD1,hsa221264
505,AKIRIN1|79647,79647,AKIRIN1,hsa79647
506,AKIRIN2|55122,55122,AKIRIN2,hsa55122
507,AKNA|80709,80709,AKNA,hsa80709
508,AKNAD1|254268,254268,AKNAD1,hsa254268
509,AKR1A1|10327,10327,AKR1A1,hsa10327
510,AKR1B10|57016,57016,AKR1B10,hsa57016
511,AKR1B1|231,231,AKR1B1,hsa231
512,AKR1B15|441282,441282,AKR1B15,hsa441282
513,AKR1C1|1645,1645,AKR1C1,hsa1645
514,AKR1C2|1646,1646,AKR1C2,hsa1646
515,AKR1C3|8644,8644,AKR1C3,hsa8644
516,AKR1C4|1109,1109,AKR1C4,hsa1109
517,AKR1CL1|340811,340811,AKR1CL1,hsa340811
518,AKR1D1|6718,6718,AKR1D1,hsa6718
519,AKR1E2|83592,83592,AKR1E2,hsa83592
520,AKR7A2|8574,8574,AKR7A2,hsa8574
521,AKR7A3|22977,22977,AKR7A3,hsa22977
522,AKR7L|246181,246181,AKR7L,hsa246181
523,AKT1|207,207,AKT1,hsa207
524,AKT1S1|84335,84335,AKT1S1,hsa84335
525,AKT2|208,208,AKT2,hsa208
526,AKT3|10000,10000,AKT3,hsa10000
527,AKTIP|64400,64400,AKTIP,hsa64400
528,ALAD|210,210,ALAD,hsa210
529,ALAS1|211,211,ALAS1,hsa211
530,ALAS2|212,212,ALAS2,hsa212
531,ALB|213,213,ALB,hsa213
532,ALCAM|214,214,ALCAM,hsa214
533,ALDH16A1|126133,126133,ALDH16A1,hsa126133
534,ALDH18A1|5832,5832,ALDH18A1,hsa5832
535,ALDH1A1|216,216,ALDH1A1,hsa216
536,ALDH1A2|8854,8854,ALDH1A2,hsa8854
537,ALDH1A3|220,220,ALDH1A3,hsa220
538,ALDH1B1|219,219,ALDH1B1,hsa219
539,ALDH1L1|10840,10840,ALDH1L1,hsa10840
540,ALDH1L2|160428,160428,ALDH1L2,hsa160428
541,ALDH2|217,217,ALDH2,hsa217
542,ALDH3A1|218,218,ALDH3A1,hsa218
543,ALDH3A2|224,224,ALDH3A2,hsa224
544,ALDH3B1|221,221,ALDH3B1,hsa221
545,ALDH3B2|222,222,ALDH3B2,hsa222
546,ALDH4A1|8659,8659,ALDH4A1,hsa8659
547,ALDH5A1|7915,7915,ALDH5A1,hsa7915
548,ALDH6A1|4329,4329,ALDH6A1,hsa4329
549,ALDH7A1|501,501,ALDH7A1,hsa501
550,ALDH8A1|64577,64577,ALDH8A1,hsa64577
551,ALDH9A1|223,223,ALDH9A1,hsa223
552,ALDOA|226,226,ALDOA,hsa226
553,ALDOB|229,229,ALDOB,hsa229
554,ALDOC|230,230,ALDOC,hsa230
555,ALG10|84920,84920,ALG10,hsa84920
556,ALG10B|144245,144245,ALG10B,hsa144245
557,ALG11|440138,440138,ALG11,hsa440138
